--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
043.677  000.078  000.078: require('mason-core.installer.context.InstallContextFs')
043.749  000.069  000.069: require('mason-core.installer.context.InstallContextSpawn')
043.823  000.070  000.070: require('mason-core.receipt')
043.849  000.421  000.127: require('mason-core.installer.context')
043.852  000.506  000.084: require('mason-core.installer')
043.861  000.595  000.089: require('mason-core.installer.managers.std')
043.864  000.668  000.073: require('mason-core.installer.compiler.schemas')
043.961  000.095  000.095: require('mason-core.installer.compiler.util')
043.968  001.024  000.103: require('mason-core.installer.compiler')
044.063  000.092  000.092: require('mason-core.installer.linker')
044.067  001.198  000.082: require('mason-core.installer.InstallRunner')
044.144  000.075  000.075: require('mason-core.installer.UninstallRunner')
044.149  001.634  000.100: require('mason-core.package')
044.151  001.779  000.075: require('mason-registry.sources.util')
044.156  002.979  000.194: require('mason-registry.sources.github')
044.428  000.139  000.139: require('mason.api.command')
046.136  008.180  002.118: require('config.mason-config')
046.835  000.056  000.056: sourcing C:/Users/rmcfa/AppData/Local/nvim-data/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
046.846  000.157  000.102: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
046.854  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
046.877  000.001  000.001: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
047.298  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
047.314  000.001  000.001: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
047.331  000.001  000.001: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
047.344  000.001  000.001: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
048.225  000.117  000.117: require('lualine_require')
048.798  001.438  001.321: require('lualine')
048.966  000.008  000.008: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
049.923  000.009  000.009: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
050.414  000.007  000.007: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
050.452  000.004  000.004: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
050.479  000.003  000.003: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
050.496  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
